Epoch 1/50, Train Loss: 117496168448.0, Val Loss: 54656450560.0
Epoch 2/50, Train Loss: 104883437568.0, Val Loss: 51208257536.0
Epoch 3/50, Train Loss: 93614948352.0, Val Loss: 48111046656.0
Epoch 4/50, Train Loss: 83179700224.0, Val Loss: 44762947584.0
Epoch 5/50, Train Loss: 72896446464.0, Val Loss: 40910180352.0
Epoch 6/50, Train Loss: 62665326592.0, Val Loss: 36912988160.0
Epoch 7/50, Train Loss: 52809203712.0, Val Loss: 33024210944.0
Epoch 8/50, Train Loss: 43410440192.0, Val Loss: 29287049216.0
Epoch 9/50, Train Loss: 35099787264.0, Val Loss: 25779929088.0
Epoch 10/50, Train Loss: 28370556928.0, Val Loss: 22607896576.0
Epoch 11/50, Train Loss: 23928133632.0, Val Loss: 19886581760.0
Epoch 12/50, Train Loss: 22063112192.0, Val Loss: 17550270464.0
Epoch 13/50, Train Loss: 22270095360.0, Val Loss: 15932144640.0
Epoch 14/50, Train Loss: 23597903872.0, Val Loss: 15164814336.0
Epoch 15/50, Train Loss: 24931463168.0, Val Loss: 14953718784.0
Epoch 16/50, Train Loss: 25369522176.0, Val Loss: 15199782912.0
Epoch 17/50, Train Loss: 24802877440.0, Val Loss: 15650062336.0
Epoch 18/50, Train Loss: 23338000384.0, Val Loss: 15944320000.0
Epoch 19/50, Train Loss: 21188651008.0, Val Loss: 16098827264.0
Epoch 20/50, Train Loss: 18919804928.0, Val Loss: 16150777856.0
Epoch 21/50, Train Loss: 16959857664.0, Val Loss: 16208476160.0
Epoch 22/50, Train Loss: 15527063552.0, Val Loss: 16442275840.0
Epoch 23/50, Train Loss: 14773236736.0, Val Loss: 16731979776.0
Epoch 24/50, Train Loss: 14590456832.0, Val Loss: 16959788032.0
Epoch 25/50, Train Loss: 14760788992.0, Val Loss: 17192531968.0
Epoch 26/50, Train Loss: 15075721216.0, Val Loss: 17425295360.0
Epoch 27/50, Train Loss: 15285485568.0, Val Loss: 17611599872.0
Epoch 28/50, Train Loss: 15275511808.0, Val Loss: 17628676096.0
Epoch 29/50, Train Loss: 15034722304.0, Val Loss: 17370112000.0
Epoch 30/50, Train Loss: 14576858112.0, Val Loss: 16995457024.0
Epoch 31/50, Train Loss: 14037479424.0, Val Loss: 16681546752.0
Epoch 32/50, Train Loss: 13535842304.0, Val Loss: 16496122880.0
Epoch 33/50, Train Loss: 13167810560.0, Val Loss: 16410790912.0
Epoch 34/50, Train Loss: 13016562688.0, Val Loss: 16323165184.0
Epoch 35/50, Train Loss: 13052443648.0, Val Loss: 16191058944.0
Epoch 36/50, Train Loss: 13228467200.0, Val Loss: 16129310720.0
Epoch 37/50, Train Loss: 13455212544.0, Val Loss: 16094355456.0
Epoch 38/50, Train Loss: 13596852224.0, Val Loss: 15989344256.0
Epoch 39/50, Train Loss: 13570423808.0, Val Loss: 15710666752.0
Epoch 40/50, Train Loss: 13398429696.0, Val Loss: 15514544128.0
Epoch 41/50, Train Loss: 13207461888.0, Val Loss: 15455544320.0
Epoch 42/50, Train Loss: 12981914624.0, Val Loss: 15438478336.0
Epoch 43/50, Train Loss: 12866579456.0, Val Loss: 15313655808.0
Epoch 44/50, Train Loss: 12831602688.0, Val Loss: 15304350720.0
Epoch 45/50, Train Loss: 12888443904.0, Val Loss: 15395878912.0
Epoch 46/50, Train Loss: 12931796992.0, Val Loss: 15325785088.0
Epoch 47/50, Train Loss: 12922610688.0, Val Loss: 15126943744.0
Epoch 48/50, Train Loss: 12881060864.0, Val Loss: 15025768448.0
Epoch 49/50, Train Loss: 12795899904.0, Val Loss: 14978611200.0
Epoch 50/50, Train Loss: 12710912000.0, Val Loss: 14810787840.0
