Epoch 1/5000, Train Loss: 123070070784.0, Val Loss: 56245555200.0
Epoch 2/5000, Train Loss: 104854732800.0, Val Loss: 51072630784.0
Epoch 3/5000, Train Loss: 91238670336.0, Val Loss: 48566304768.0
Epoch 4/5000, Train Loss: 80883204096.0, Val Loss: 47454113792.0
Epoch 5/5000, Train Loss: 72477270016.0, Val Loss: 46394187776.0
Epoch 6/5000, Train Loss: 64873005056.0, Val Loss: 44311359488.0
Epoch 7/5000, Train Loss: 57327161344.0, Val Loss: 41189113856.0
Epoch 8/5000, Train Loss: 49848840192.0, Val Loss: 37355724800.0
Epoch 9/5000, Train Loss: 42774904832.0, Val Loss: 33172115456.0
Epoch 10/5000, Train Loss: 36514869248.0, Val Loss: 29119969280.0
Epoch 11/5000, Train Loss: 31549327360.0, Val Loss: 25534263296.0
Epoch 12/5000, Train Loss: 28228442112.0, Val Loss: 22655164416.0
Epoch 13/5000, Train Loss: 26598621184.0, Val Loss: 20603183104.0
Epoch 14/5000, Train Loss: 26374668288.0, Val Loss: 19226552320.0
Epoch 15/5000, Train Loss: 26892845056.0, Val Loss: 18370023424.0
Epoch 16/5000, Train Loss: 27484876800.0, Val Loss: 17890564096.0
Epoch 17/5000, Train Loss: 27744460800.0, Val Loss: 17667346432.0
Epoch 18/5000, Train Loss: 27506690048.0, Val Loss: 17588498432.0
Epoch 19/5000, Train Loss: 26695915520.0, Val Loss: 17594867712.0
Epoch 20/5000, Train Loss: 25409368064.0, Val Loss: 17693716480.0
Epoch 21/5000, Train Loss: 23873220608.0, Val Loss: 17897566208.0
Epoch 22/5000, Train Loss: 22337396736.0, Val Loss: 18132832256.0
Epoch 23/5000, Train Loss: 20973557760.0, Val Loss: 18317170688.0
Epoch 24/5000, Train Loss: 19791857664.0, Val Loss: 18361323520.0
Epoch 25/5000, Train Loss: 18834497536.0, Val Loss: 18281682944.0
Epoch 26/5000, Train Loss: 18079870976.0, Val Loss: 18139793408.0
Epoch 27/5000, Train Loss: 17509933056.0, Val Loss: 17987065856.0
Epoch 28/5000, Train Loss: 17080421376.0, Val Loss: 17824053248.0
Epoch 29/5000, Train Loss: 16699273216.0, Val Loss: 17631475712.0
Epoch 30/5000, Train Loss: 16286656512.0, Val Loss: 17407227904.0
Epoch 31/5000, Train Loss: 15821277184.0, Val Loss: 17168108544.0
