Epoch 1/5000, Train Loss: 106442784768.0, Val Loss: 53196304384.0
Epoch 2/5000, Train Loss: 91922456576.0, Val Loss: 48560758784.0
Epoch 3/5000, Train Loss: 80776765440.0, Val Loss: 46121287680.0
Epoch 4/5000, Train Loss: 71890911232.0, Val Loss: 44686356480.0
Epoch 5/5000, Train Loss: 64174911488.0, Val Loss: 42869764096.0
Epoch 6/5000, Train Loss: 56618786816.0, Val Loss: 40155152384.0
Epoch 7/5000, Train Loss: 49172639744.0, Val Loss: 36492324864.0
Epoch 8/5000, Train Loss: 41980821504.0, Val Loss: 32289775616.0
Epoch 9/5000, Train Loss: 35560300544.0, Val Loss: 27970508800.0
Epoch 10/5000, Train Loss: 30455474176.0, Val Loss: 24222939136.0
Epoch 11/5000, Train Loss: 27258251264.0, Val Loss: 21420591104.0
Epoch 12/5000, Train Loss: 26082375680.0, Val Loss: 19583023104.0
Epoch 13/5000, Train Loss: 26467082240.0, Val Loss: 18590320640.0
Epoch 14/5000, Train Loss: 27641704448.0, Val Loss: 18073356288.0
Epoch 15/5000, Train Loss: 28666753024.0, Val Loss: 17654810624.0
Epoch 16/5000, Train Loss: 28877160448.0, Val Loss: 17196947456.0
Epoch 17/5000, Train Loss: 28049487872.0, Val Loss: 16804201472.0
Epoch 18/5000, Train Loss: 26409203712.0, Val Loss: 16629478400.0
Epoch 19/5000, Train Loss: 24378595328.0, Val Loss: 16737158144.0
Epoch 20/5000, Train Loss: 22357266432.0, Val Loss: 17050487808.0
Epoch 21/5000, Train Loss: 20589891584.0, Val Loss: 17401321472.0
Epoch 22/5000, Train Loss: 19179055104.0, Val Loss: 17663893504.0
Epoch 23/5000, Train Loss: 18169307136.0, Val Loss: 17819545600.0
Epoch 24/5000, Train Loss: 17562669056.0, Val Loss: 17867321344.0
Epoch 25/5000, Train Loss: 17244884992.0, Val Loss: 17833857024.0
Epoch 26/5000, Train Loss: 17064005632.0, Val Loss: 17685880832.0
Epoch 27/5000, Train Loss: 16808577024.0, Val Loss: 17361557504.0
Epoch 28/5000, Train Loss: 16291316736.0, Val Loss: 16959741952.0
Epoch 29/5000, Train Loss: 15574134784.0, Val Loss: 16574902272.0
Epoch 30/5000, Train Loss: 14805709824.0, Val Loss: 16217143296.0
Epoch 31/5000, Train Loss: 14090718208.0, Val Loss: 15852326912.0
Epoch 32/5000, Train Loss: 13474009088.0, Val Loss: 15508320256.0
Epoch 33/5000, Train Loss: 13034343424.0, Val Loss: 15326268416.0
Epoch 34/5000, Train Loss: 12854507520.0, Val Loss: 15309984768.0
Epoch 35/5000, Train Loss: 12854653952.0, Val Loss: 15349200896.0
Epoch 36/5000, Train Loss: 12888163328.0, Val Loss: 15420114944.0
Epoch 37/5000, Train Loss: 12952054784.0, Val Loss: 15403022336.0
Epoch 38/5000, Train Loss: 12967279616.0, Val Loss: 15216106496.0
Epoch 39/5000, Train Loss: 12855416832.0, Val Loss: 14989117440.0
Epoch 40/5000, Train Loss: 12732008448.0, Val Loss: 14852972544.0
Epoch 41/5000, Train Loss: 12633507840.0, Val Loss: 14806510592.0
Epoch 42/5000, Train Loss: 12561809408.0, Val Loss: 14832230400.0
Epoch 43/5000, Train Loss: 12587833344.0, Val Loss: 14793294848.0
Epoch 44/5000, Train Loss: 12657393664.0, Val Loss: 14677891072.0
Epoch 45/5000, Train Loss: 12725757952.0, Val Loss: 14641044480.0
Epoch 46/5000, Train Loss: 12781633536.0, Val Loss: 14671576064.0
Epoch 47/5000, Train Loss: 12761581568.0, Val Loss: 14757944320.0
Epoch 48/5000, Train Loss: 12675264512.0, Val Loss: 14850247680.0
Epoch 49/5000, Train Loss: 12578438144.0, Val Loss: 14855205888.0
Epoch 50/5000, Train Loss: 12475328512.0, Val Loss: 14817282048.0
Epoch 51/5000, Train Loss: 12409791488.0, Val Loss: 14813292544.0
Epoch 52/5000, Train Loss: 12384556032.0, Val Loss: 14838277120.0
Epoch 53/5000, Train Loss: 12362263552.0, Val Loss: 14891735040.0
Epoch 54/5000, Train Loss: 12349223936.0, Val Loss: 14887496704.0
Epoch 55/5000, Train Loss: 12321494016.0, Val Loss: 14808086528.0
Epoch 56/5000, Train Loss: 12273861632.0, Val Loss: 14731012096.0
Epoch 57/5000, Train Loss: 12226442240.0, Val Loss: 14690221056.0
Epoch 58/5000, Train Loss: 12179738624.0, Val Loss: 14681033728.0
