Epoch 1/5000, Train Loss: 101234597888.0, Val Loss: 49830584320.0
Epoch 2/5000, Train Loss: 86247940096.0, Val Loss: 46469271552.0
Epoch 3/5000, Train Loss: 74338574336.0, Val Loss: 43899187200.0
Epoch 4/5000, Train Loss: 64243298304.0, Val Loss: 41161334784.0
Epoch 5/5000, Train Loss: 55428263936.0, Val Loss: 37986881536.0
Epoch 6/5000, Train Loss: 47522836480.0, Val Loss: 34432954368.0
Epoch 7/5000, Train Loss: 40563019776.0, Val Loss: 30771326976.0
Epoch 8/5000, Train Loss: 34890727424.0, Val Loss: 27327160320.0
Epoch 9/5000, Train Loss: 30830510080.0, Val Loss: 24431085568.0
Epoch 10/5000, Train Loss: 28601053184.0, Val Loss: 22031552512.0
Epoch 11/5000, Train Loss: 27859382272.0, Val Loss: 20081332224.0
Epoch 12/5000, Train Loss: 27940100096.0, Val Loss: 18611015680.0
Epoch 13/5000, Train Loss: 28139325440.0, Val Loss: 17642754048.0
Epoch 14/5000, Train Loss: 28009863168.0, Val Loss: 17133101056.0
Epoch 15/5000, Train Loss: 27400116224.0, Val Loss: 17065523200.0
Epoch 16/5000, Train Loss: 26385520640.0, Val Loss: 17279830016.0
Epoch 17/5000, Train Loss: 25090084864.0, Val Loss: 17578987520.0
Epoch 18/5000, Train Loss: 23622649856.0, Val Loss: 17818882048.0
Epoch 19/5000, Train Loss: 22115051520.0, Val Loss: 17964097536.0
Epoch 20/5000, Train Loss: 20711880704.0, Val Loss: 18014337024.0
Epoch 21/5000, Train Loss: 19567552512.0, Val Loss: 17983236096.0
Epoch 22/5000, Train Loss: 18636333056.0, Val Loss: 17917376512.0
Epoch 23/5000, Train Loss: 17901910016.0, Val Loss: 17865228288.0
Epoch 24/5000, Train Loss: 17340700672.0, Val Loss: 17847646208.0
Epoch 25/5000, Train Loss: 16905762816.0, Val Loss: 17824032768.0
Epoch 26/5000, Train Loss: 16542382080.0, Val Loss: 17737158656.0
Epoch 27/5000, Train Loss: 16191070208.0, Val Loss: 17575170048.0
Epoch 28/5000, Train Loss: 15814920192.0, Val Loss: 17353394176.0
Epoch 29/5000, Train Loss: 15402556416.0, Val Loss: 17097636864.0
Epoch 30/5000, Train Loss: 14949510144.0, Val Loss: 16826673152.0
Epoch 31/5000, Train Loss: 14468428800.0, Val Loss: 16569626624.0
Epoch 32/5000, Train Loss: 14008433664.0, Val Loss: 16350435328.0
Epoch 33/5000, Train Loss: 13621820416.0, Val Loss: 16149746688.0
Epoch 34/5000, Train Loss: 13326662656.0, Val Loss: 16006333440.0
Epoch 35/5000, Train Loss: 13158866944.0, Val Loss: 15975998464.0
Epoch 36/5000, Train Loss: 13122511872.0, Val Loss: 16054827008.0
Epoch 37/5000, Train Loss: 13147241472.0, Val Loss: 16197827584.0
Epoch 38/5000, Train Loss: 13181733888.0, Val Loss: 16321568768.0
Epoch 39/5000, Train Loss: 13181912064.0, Val Loss: 16345209856.0
Epoch 40/5000, Train Loss: 13116413952.0, Val Loss: 16270407680.0
Epoch 41/5000, Train Loss: 13025921024.0, Val Loss: 16188463104.0
Epoch 42/5000, Train Loss: 12917669888.0, Val Loss: 16169086976.0
Epoch 43/5000, Train Loss: 12832992256.0, Val Loss: 16179467264.0
Epoch 44/5000, Train Loss: 12801215488.0, Val Loss: 16163146752.0
Epoch 45/5000, Train Loss: 12812575744.0, Val Loss: 16134920192.0
Epoch 46/5000, Train Loss: 12848102400.0, Val Loss: 16103034880.0
Epoch 47/5000, Train Loss: 12863726592.0, Val Loss: 16032720896.0
Epoch 48/5000, Train Loss: 12848555008.0, Val Loss: 15871197184.0
Epoch 49/5000, Train Loss: 12804407296.0, Val Loss: 15635416064.0
Epoch 50/5000, Train Loss: 12749214720.0, Val Loss: 15419010048.0
Epoch 51/5000, Train Loss: 12701246464.0, Val Loss: 15279723520.0
Epoch 52/5000, Train Loss: 12667288576.0, Val Loss: 15164485632.0
Epoch 53/5000, Train Loss: 12648873984.0, Val Loss: 15034010624.0
Epoch 54/5000, Train Loss: 12624749568.0, Val Loss: 14912332800.0
Epoch 55/5000, Train Loss: 12588233728.0, Val Loss: 14830917632.0
Epoch 56/5000, Train Loss: 12554300416.0, Val Loss: 14783339520.0
Epoch 57/5000, Train Loss: 12528899072.0, Val Loss: 14697825280.0
Epoch 58/5000, Train Loss: 12501786624.0, Val Loss: 14574249984.0
Epoch 59/5000, Train Loss: 12470437888.0, Val Loss: 14458975232.0
Epoch 60/5000, Train Loss: 12453567488.0, Val Loss: 14514812928.0
Epoch 61/5000, Train Loss: 12424958976.0, Val Loss: 14488102912.0
Epoch 62/5000, Train Loss: 12402830336.0, Val Loss: 14381945856.0
Epoch 63/5000, Train Loss: 12389494784.0, Val Loss: 14411297792.0
Epoch 64/5000, Train Loss: 12362382336.0, Val Loss: 14430489600.0
Epoch 65/5000, Train Loss: 12350825472.0, Val Loss: 14334662656.0
Epoch 66/5000, Train Loss: 12327499776.0, Val Loss: 14318333952.0
Epoch 67/5000, Train Loss: 12309096448.0, Val Loss: 14366263296.0
Epoch 68/5000, Train Loss: 12299223040.0, Val Loss: 14292783104.0
Epoch 69/5000, Train Loss: 12284187648.0, Val Loss: 14244297728.0
Epoch 70/5000, Train Loss: 12279955456.0, Val Loss: 14279189504.0
Epoch 71/5000, Train Loss: 12268940288.0, Val Loss: 14224450560.0
Epoch 72/5000, Train Loss: 12256047104.0, Val Loss: 14138374144.0
Epoch 73/5000, Train Loss: 12248455168.0, Val Loss: 14140755968.0
Epoch 74/5000, Train Loss: 12233792512.0, Val Loss: 14108476416.0
Epoch 75/5000, Train Loss: 12224379904.0, Val Loss: 14006894592.0
Epoch 76/5000, Train Loss: 12213604352.0, Val Loss: 13980468224.0
Epoch 77/5000, Train Loss: 12197328896.0, Val Loss: 13946734592.0
Epoch 78/5000, Train Loss: 12185441280.0, Val Loss: 13842593792.0
Epoch 79/5000, Train Loss: 12171884544.0, Val Loss: 13798544384.0
Epoch 80/5000, Train Loss: 12156997632.0, Val Loss: 13767033856.0
Epoch 81/5000, Train Loss: 12145072128.0, Val Loss: 13676669952.0
Epoch 82/5000, Train Loss: 12133223424.0, Val Loss: 13642582016.0
Epoch 83/5000, Train Loss: 12122099712.0, Val Loss: 13631258624.0
Epoch 84/5000, Train Loss: 12111214592.0, Val Loss: 13574879232.0
Epoch 85/5000, Train Loss: 12097411072.0, Val Loss: 13572046848.0
Epoch 86/5000, Train Loss: 12082097152.0, Val Loss: 13583766528.0
Epoch 87/5000, Train Loss: 12068887552.0, Val Loss: 13551452160.0
Epoch 88/5000, Train Loss: 12056649728.0, Val Loss: 13551477760.0
Epoch 89/5000, Train Loss: 12042136576.0, Val Loss: 13539844096.0
Epoch 90/5000, Train Loss: 12027583488.0, Val Loss: 13477430272.0
Epoch 91/5000, Train Loss: 12015196160.0, Val Loss: 13478197248.0
Epoch 92/5000, Train Loss: 12003618816.0, Val Loss: 13432598528.0
Epoch 93/5000, Train Loss: 11990942720.0, Val Loss: 13395978240.0
Epoch 94/5000, Train Loss: 11979893760.0, Val Loss: 13396008960.0
Epoch 95/5000, Train Loss: 11969416192.0, Val Loss: 13344595968.0
Epoch 96/5000, Train Loss: 11958531072.0, Val Loss: 13325865984.0
Epoch 97/5000, Train Loss: 11946778624.0, Val Loss: 13310595072.0
Epoch 98/5000, Train Loss: 11935838208.0, Val Loss: 13262328832.0
Epoch 99/5000, Train Loss: 11923812352.0, Val Loss: 13259561984.0
Epoch 100/5000, Train Loss: 11911356416.0, Val Loss: 13204982784.0
Epoch 101/5000, Train Loss: 11896690688.0, Val Loss: 13154137088.0
Epoch 102/5000, Train Loss: 11878257664.0, Val Loss: 13121408000.0
Epoch 103/5000, Train Loss: 11860654080.0, Val Loss: 13038194688.0
Epoch 104/5000, Train Loss: 11848290304.0, Val Loss: 13047183360.0
Epoch 105/5000, Train Loss: 11840395264.0, Val Loss: 12982861824.0
Epoch 106/5000, Train Loss: 11832373248.0, Val Loss: 12983066624.0
Epoch 107/5000, Train Loss: 11824273408.0, Val Loss: 12976218112.0
Epoch 108/5000, Train Loss: 11815134208.0, Val Loss: 12953267200.0
Epoch 109/5000, Train Loss: 11805489152.0, Val Loss: 12957070336.0
Epoch 110/5000, Train Loss: 11796590592.0, Val Loss: 12920100864.0
Epoch 111/5000, Train Loss: 11784679424.0, Val Loss: 12894826496.0
Epoch 112/5000, Train Loss: 11770817536.0, Val Loss: 12865310720.0
Epoch 113/5000, Train Loss: 11754698752.0, Val Loss: 12805214208.0
Epoch 114/5000, Train Loss: 11744171008.0, Val Loss: 12803136512.0
Epoch 115/5000, Train Loss: 11733881856.0, Val Loss: 12752784384.0
Epoch 116/5000, Train Loss: 11721961472.0, Val Loss: 12791352320.0
Epoch 117/5000, Train Loss: 11709632512.0, Val Loss: 12752488448.0
Epoch 118/5000, Train Loss: 11701073920.0, Val Loss: 12822374400.0
Epoch 119/5000, Train Loss: 11693268992.0, Val Loss: 12762958848.0
Epoch 120/5000, Train Loss: 11686231040.0, Val Loss: 12812542976.0
Epoch 121/5000, Train Loss: 11679753216.0, Val Loss: 12780092416.0
Epoch 122/5000, Train Loss: 11672231936.0, Val Loss: 12770017280.0
Epoch 123/5000, Train Loss: 11664732160.0, Val Loss: 12779801600.0
Epoch 124/5000, Train Loss: 11656185856.0, Val Loss: 12718949376.0
Epoch 125/5000, Train Loss: 11647432704.0, Val Loss: 12733376512.0
Epoch 126/5000, Train Loss: 11637412864.0, Val Loss: 12672101376.0
Epoch 127/5000, Train Loss: 11627511808.0, Val Loss: 12680156160.0
Epoch 128/5000, Train Loss: 11617595392.0, Val Loss: 12659141632.0
Epoch 129/5000, Train Loss: 11609619456.0, Val Loss: 12669736960.0
Epoch 130/5000, Train Loss: 11600362496.0, Val Loss: 12678545408.0
Epoch 131/5000, Train Loss: 11591259136.0, Val Loss: 12671931392.0
Epoch 132/5000, Train Loss: 11583438848.0, Val Loss: 12672817152.0
Epoch 133/5000, Train Loss: 11575503872.0, Val Loss: 12642663424.0
Epoch 134/5000, Train Loss: 11567965184.0, Val Loss: 12618418176.0
Epoch 135/5000, Train Loss: 11560028160.0, Val Loss: 12579374080.0
Epoch 136/5000, Train Loss: 11552965632.0, Val Loss: 12553614336.0
Epoch 137/5000, Train Loss: 11545394176.0, Val Loss: 12524145664.0
Epoch 138/5000, Train Loss: 11537239040.0, Val Loss: 12515425280.0
Epoch 139/5000, Train Loss: 11530714112.0, Val Loss: 12510331904.0
Epoch 140/5000, Train Loss: 11523598336.0, Val Loss: 12516629504.0
Epoch 141/5000, Train Loss: 11516538880.0, Val Loss: 12512979968.0
Epoch 142/5000, Train Loss: 11508582400.0, Val Loss: 12518348800.0
Epoch 143/5000, Train Loss: 11501024256.0, Val Loss: 12505129984.0
Epoch 144/5000, Train Loss: 11493777408.0, Val Loss: 12510588928.0
Epoch 145/5000, Train Loss: 11486098432.0, Val Loss: 12489232384.0
Epoch 146/5000, Train Loss: 11478338560.0, Val Loss: 12497084416.0
Epoch 147/5000, Train Loss: 11470708736.0, Val Loss: 12460602368.0
Epoch 148/5000, Train Loss: 11463019520.0, Val Loss: 12481711104.0
Epoch 149/5000, Train Loss: 11456362496.0, Val Loss: 12422136832.0
Epoch 150/5000, Train Loss: 11451779072.0, Val Loss: 12490315776.0
Epoch 151/5000, Train Loss: 11448904704.0, Val Loss: 12386971648.0
Epoch 152/5000, Train Loss: 11448688640.0, Val Loss: 12536102912.0
Epoch 153/5000, Train Loss: 11452663808.0, Val Loss: 12375006208.0
Epoch 154/5000, Train Loss: 11447595008.0, Val Loss: 12515154944.0
Epoch 155/5000, Train Loss: 11430671360.0, Val Loss: 12414187520.0
Epoch 156/5000, Train Loss: 11407072256.0, Val Loss: 12415700992.0
Epoch 157/5000, Train Loss: 11400687616.0, Val Loss: 12508991488.0
Epoch 158/5000, Train Loss: 11405063168.0, Val Loss: 12386529280.0
Epoch 159/5000, Train Loss: 11398234112.0, Val Loss: 12456945664.0
Epoch 160/5000, Train Loss: 11379786752.0, Val Loss: 12417078272.0
Epoch 161/5000, Train Loss: 11368931328.0, Val Loss: 12359799808.0
Epoch 162/5000, Train Loss: 11369426944.0, Val Loss: 12440260608.0
Epoch 163/5000, Train Loss: 11365018624.0, Val Loss: 12338534400.0
Epoch 164/5000, Train Loss: 11350876160.0, Val Loss: 12356568064.0
Epoch 165/5000, Train Loss: 11339612160.0, Val Loss: 12388225024.0
Epoch 166/5000, Train Loss: 11336090624.0, Val Loss: 12318664704.0
Epoch 167/5000, Train Loss: 11331003392.0, Val Loss: 12370734080.0
Epoch 168/5000, Train Loss: 11320474624.0, Val Loss: 12340082688.0
Epoch 169/5000, Train Loss: 11310659584.0, Val Loss: 12310615040.0
Epoch 170/5000, Train Loss: 11306549248.0, Val Loss: 12372752384.0
Epoch 171/5000, Train Loss: 11302725632.0, Val Loss: 12289032192.0
Epoch 172/5000, Train Loss: 11293772800.0, Val Loss: 12320855040.0
Epoch 173/5000, Train Loss: 11281696768.0, Val Loss: 12298264576.0
Epoch 174/5000, Train Loss: 11273901056.0, Val Loss: 12254929920.0
Epoch 175/5000, Train Loss: 11268857856.0, Val Loss: 12306814976.0
Epoch 176/5000, Train Loss: 11262435328.0, Val Loss: 12244531200.0
Epoch 177/5000, Train Loss: 11253530624.0, Val Loss: 12261071872.0
Epoch 178/5000, Train Loss: 11243081728.0, Val Loss: 12245493760.0
Epoch 179/5000, Train Loss: 11234692096.0, Val Loss: 12218471424.0
Epoch 180/5000, Train Loss: 11227799552.0, Val Loss: 12259303424.0
Epoch 181/5000, Train Loss: 11221362688.0, Val Loss: 12215230464.0
Epoch 182/5000, Train Loss: 11212850176.0, Val Loss: 12236735488.0
Epoch 183/5000, Train Loss: 11204628480.0, Val Loss: 12217701376.0
Epoch 184/5000, Train Loss: 11196045312.0, Val Loss: 12183045120.0
Epoch 185/5000, Train Loss: 11189364736.0, Val Loss: 12215281664.0
Epoch 186/5000, Train Loss: 11183051776.0, Val Loss: 12159005696.0
Epoch 187/5000, Train Loss: 11175646208.0, Val Loss: 12186121216.0
Epoch 188/5000, Train Loss: 11164966912.0, Val Loss: 12159976448.0
Epoch 189/5000, Train Loss: 11155826688.0, Val Loss: 12148813824.0
Epoch 190/5000, Train Loss: 11147845632.0, Val Loss: 12166881280.0
Epoch 191/5000, Train Loss: 11141003264.0, Val Loss: 12116886528.0
Epoch 192/5000, Train Loss: 11134672896.0, Val Loss: 12175944704.0
