visits,interlibrary_relation_code,fscs_definition_code,overdue_policy,beac_code,locale_code,population_lsa,county_population,print_volumes,ebook_volumes,num_lib_branches,num_bookmobiles
5032,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Far West,Rural,2202,61223,19054,0,0,0
503934,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Far West,City,289810,286075,401288,48543,4,0
22697,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Far West,Town,6154,18224,35096,22604,0,0
33623,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Far West,Rural,10565,115239,22217,3066,0,0
3123,Not a member of a federation or cooperative,Does not Meet FSCS Public Library Definition,Does not Have Overdue Policy,Far West,Rural,53,12565,5680,256,0,0
21365,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Far West,Rural,2566,6769,23344,22604,0,0
8242,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Far West,Rural,992,5696,11363,22604,0,0
37831,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Far West,Rural,983,7077,13048,22604,0,0
982,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Far West,Rural,76,7077,10009,22604,0,0
246429,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Far West,City,96747,94840,270851,810627,1,1
2639,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Far West,Rural,435,5129,8921,0,0,0
5212,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Far West,Rural,657,2262,12761,24209,0,0
50082,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Has Overdue Policy,Far West,Rural,2575,2070,24030,22604,0,0
987,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Far West,Rural,929,1584,24461,22604,0,0
1253,Not a member of a federation or cooperative,Does not Meet FSCS Public Library Definition,Does not Have Overdue Policy,Far West,Rural,139,5696,5877,124,0,0
125460,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Far West,Rural,5515,61223,44137,22604,0,0
1875,Not a member of a federation or cooperative,Does not Meet FSCS Public Library Definition,Does not Have Overdue Policy,Far West,Rural,167,61223,5246,0,0,0
182564,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Far West,Town,32202,31555,116837,22604,2,0
56369,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Far West,Town,7507,61223,64000,22604,0,0
48086,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Far West,Town,13762,13738,54983,22604,0,0
24045,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Far West,Town,12498,12565,66629,22604,0,0
3093,Not a member of a federation or cooperative,Meets FSCS Public Library Definition,Does not Have Overdue Policy,Far West,Rural,930,61223,12687,22604,0,0
